"UNITID_P","INSTNM","BRANCH","Address","City","State","ZIP","sector_cd","Sector_desc","men_total","women_total","Total","WEAPON13","DRUG13","LIQUOR13","WEAPON14","DRUG14","LIQUOR14","WEAPON15","DRUG15","LIQUOR15","FILTER13","FILTER14","FILTER15"
100654001,"Alabama A & M University","Main Campus","4900 MERIDIAN ST","NORMAL","AL","35762",1,"Public, 4-year or above",2409,3219,5628,2,7,0,6,17,0,14,38,2,1,1,1
100663001,"University of Alabama at Birmingham","Main Campus","ADMINISTRATION BLDG SUITE 1070, 701 20th Street So","BIRMINGHAM","AL","352940110",1,"Public, 4-year or above",7185,11148,18333,1,21,0,0,29,0,5,27,0,1,1,1
100690001,"Amridge University","Main Campus","1200 TAYLOR RD","MONTGOMERY","AL","361173553",2,"Private nonprofit, 4-year or above",257,370,627,0,0,0,0,0,0,0,0,0,1,1,1
100706001,"University of Alabama in Huntsville","Main Campus","301 SPARKMAN DR","HUNTSVILLE","AL","35899",1,"Public, 4-year or above",4464,3402,7866,0,4,0,1,7,1,0,6,0,1,1,1
100724001,"Alabama State University","Main Campus","915 SOUTH JACKSON ST","MONTGOMERY","AL","361040271",1,"Public, 4-year or above",2017,3366,5383,3,20,0,3,35,0,6,33,0,1,1,1
100751001,"The University of Alabama","Main Campus","1110 Jackson Ave","TUSCALOOSA","AL","354870180",1,"Public, 4-year or above",16564,20534,37098,4,49,3,1,109,25,1,84,10,1,1,1
100760001,"Central Alabama Community College","Alexander City Campus","1675 Cherokee Rd","Alexander City","AL","35010",4,"Public, 2-year",796,991,1787,0,0,0,0,1,1,0,1,0,1,1,1
100812001,"Athens State University","Athens State University Main Campus","300 N BEATY ST","ATHENS","AL","35611",1,"Public, 4-year or above",1063,1978,3041,0,0,0,0,0,0,0,0,0,1,1,1
100830001,"Auburn University at Montgomery","Auburn University Montgomery","7400 EAST DRIVE","MONTGOMERY","AL","361173596",1,"Public, 4-year or above",1735,3184,4919,0,0,0,0,5,2,1,2,0,1,1,1
100858001,"Auburn University","Auburn University","23 Samford Hall","Auburn","AL","36849",1,"Public, 4-year or above",13759,13528,27287,2,34,22,1,31,25,3,25,8,1,1,1
100937001,"Birmingham Southern College","Birmingham-Southern College","900 Arkadelphia Road","Birmingham","AL","35254",2,"Private nonprofit, 4-year or above",676,670,1346,0,0,0,0,0,0,0,0,0,1,1,1
101028001,"Chattahoochee Valley Community College","Main Campus","2602 COLLEGE DR","PHENIX CITY","AL","36869",4,"Public, 2-year",645,1020,1665,0,0,0,0,0,0,0,0,0,1,1,1
101073001,"Concordia College Alabama","Main Campus","1712 Broad Street","SELMA","AL","36701",2,"Private nonprofit, 4-year or above",296,191,487,0,0,0,3,0,0,2,6,4,1,1,1
101116001,"South University-Montgomery","South University - Montgomery","5355 Vaughn Road","MONTGOMERY","AL","361161120",3,"Private for-profit, 4-year or above",147,434,581,0,0,0,0,0,0,0,0,0,1,1,1
101143001,"Enterprise State Community College","Main Campus","600 PLAZA DR","ENTERPRISE","AL","363301300",4,"Public, 2-year",1005,877,1882,0,0,0,0,0,0,0,0,0,1,1,1
101161001,"James H Faulkner State Community College","Main Campus","1900 US HWY 31 S","Bay Minette","AL","365072698",4,"Public, 2-year",1761,2819,4580,1,0,0,0,1,0,0,2,0,1,1,1
101189001,"Faulkner University","Main Campus","5345 ATLANTA HWY","MONTGOMERY","AL","361093378",2,"Private nonprofit, 4-year or above",1279,1983,3262,0,0,0,0,2,0,0,1,0,1,1,1
101240001,"Gadsden State Community College","Gadsden State Community College","PO Box 227","GADSDEN","AL","359020227",4,"Public, 2-year",2020,2998,5018,0,1,0,0,1,1,0,2,2,1,1,1
101277001,"New Beginning College of Cosmetology","Main Campus","421 Martling Rd","Albertville","AL","35951",9,"Private for-profit, less-than 2-year",0,91,91,0,0,0,0,0,0,0,0,0,1,1,1
101286001,"George C Wallace State Community College-Dothan","Wallace Campus","1141 Wallace Drive","DOTHAN","AL","363039234",4,"Public, 2-year",1672,3097,4769,0,0,1,0,0,0,0,0,0,1,1,1
101295001,"George C Wallace State Community College-Hanceville","Main Campus","801 MAIN ST NW","HANCEVILLE","AL","350772000",4,"Public, 2-year",2055,3363,5418,0,1,0,0,1,0,0,1,2,1,1,1
101301001,"George C Wallace State Community College-Selma","Main Campus","3000 EARL GOODWIN PARKWAY","SELMA","AL","367032808",4,"Public, 2-year",547,1044,1591,0,0,0,0,0,0,0,0,0,1,1,1
101365001,"Herzing University-Birmingham","Main Campus","280 WEST VALLEY AVENUE","BIRMINGHAM","AL","35209",3,"Private for-profit, 4-year or above",181,189,370,0,0,0,0,0,0,0,0,0,1,1,1
101435001,"Huntingdon College","Main Campus","1500 East Fairview Avenue","Montgomery","AL","361062148",2,"Private nonprofit, 4-year or above",583,583,1166,0,0,0,0,0,0,0,0,0,1,1,1
101453001,"Heritage Christian University","Main Campus","3625 HELTON DR, PO Box HCU","FLORENCE","AL","35630",2,"Private nonprofit, 4-year or above",89,3,92,0,0,0,0,0,0,0,0,0,1,1,1
101462001,"J F Drake State Community and Technical College","Main Campus","3421 MERIDIAN ST N","HUNTSVILLE","AL","358111544",4,"Public, 2-year",430,566,996,0,0,0,0,0,0,0,0,0,1,1,1
101480001,"Jacksonville State University","Main Campus","700 Pelham Road North","Jacksonville","AL","36265",1,"Public, 4-year or above",3523,4791,8314,0,24,27,1,23,12,0,20,30,1,1,1
101499001,"Jefferson Davis Community College","Main Campus","220 ALCO DR","BREWTON","AL","36426",4,"Public, 2-year",489,609,1098,0,0,0,0,0,0,0,0,1,1,1,1
101505001,"Jefferson State Community College","Jefferson","2601 CARSON RD","BIRMINGHAM","AL","352153098",4,"Public, 2-year",3432,5389,8821,1,0,0,0,4,0,1,1,2,1,1,1
101514001,"John C Calhoun State Community College","Main Campus","HWY 31 N","DECATUR","AL","356092216",4,"Public, 2-year",4552,5433,9985,0,0,0,0,0,0,0,0,0,1,1,1
101541001,"Judson College","Main Campus","302 BIBB ST","MARION","AL","36756",2,"Private nonprofit, 4-year or above",15,359,374,0,0,0,0,0,0,0,0,0,1,1,1
101569001,"Lawson State Community College-Birmingham Campus","Lawson State Community College","3060 WILSON RD SW","BIRMINGHAM","AL","352211717",4,"Public, 2-year",1304,1868,3172,0,0,1,0,0,0,0,0,0,1,1,1
101587001,"University of West Alabama","University of West Alabama","STATION 1","LIVINGSTON","AL","35470",1,"Public, 4-year or above",1215,2817,4032,0,0,0,0,1,0,0,0,0,1,1,1
101602001,"Lurleen B Wallace Community College","Main Campus","1000 Dannelly Blvd.","ANDALUSIA","AL","364201418",4,"Public, 2-year",777,955,1732,0,1,0,0,0,0,0,0,0,1,1,1
101648001,"Marion Military Institute","Main Campus","1101 Washington St.","Marion","AL","36756",4,"Public, 2-year",361,96,457,0,0,0,0,0,0,0,0,1,1,1,1
101675001,"Miles College","Miles College","5500 Myron Massey Blvd","Fairfield","AL","35064",2,"Private nonprofit, 4-year or above",941,932,1873,0,0,0,4,10,0,0,0,0,1,1,1
101693001,"University of Mobile","University of Mobile","5735 College Parkway","MOBILE","AL","366132842",2,"Private nonprofit, 4-year or above",553,1013,1566,0,0,0,0,0,0,0,0,0,1,1,1
101709001,"University of Montevallo","University of Montevallo","STATION 6001","MONTEVALLO","AL","35115",1,"Public, 4-year or above",968,2063,3031,0,2,2,0,3,2,0,1,0,1,1,1
101736001,"Northwest-Shoals Community College","Main Campus","800 GEORGE WALLACE BLVD","MUSCLE SHOALS","AL","35661",4,"Public, 2-year",1591,2109,3700,0,1,0,0,0,0,0,0,1,1,1,1
101879001,"University of North Alabama","Main Campus","1 Harrison Plaza- UNA Box 5067","FLORENCE","AL","356320001",1,"Public, 4-year or above",2913,4165,7078,0,3,3,0,4,1,0,4,3,1,1,1
101897001,"Northeast Alabama Community College","Northeast Alabama Community College","P.O. Box 159  / 138 Alabama Hwy 35","Rainsville","AL","35986",4,"Public, 2-year",1046,1654,2700,0,0,0,0,0,0,0,0,0,1,1,1
101912001,"Oakwood University","Oakwood University","7000 ADVENTIST BLVD NW","HUNTSVILLE","AL","358960003",2,"Private nonprofit, 4-year or above",729,1020,1749,0,0,0,0,8,0,0,0,0,1,1,1
101949001,"Alabama Southern Community College","Main Campus","P.O. Box 2000","MONROEVILLE","AL","364612000",4,"Public, 2-year",589,797,1386,0,0,0,0,0,0,0,0,0,1,1,1
101958001,"Prince Institute-Southeast","Prince Institute Southeast","596 W Lamont Rd","Elmhurst","IL","60126",6,"Private for-profit, 2-year",2,23,25,0,0,0,0,0,0,0,0,0,1,1,1
101994001,"Reid State Technical College","Main Campus","I65 AND HWY 83","EVERGREEN","AL","36401",4,"Public, 2-year",229,342,571,0,0,0,0,0,0,0,0,0,1,1,1
102030001,"Bishop State Community College","Main Campus","351 NORTH BROAD STREET","MOBILE","AL","366035898",4,"Public, 2-year",1253,1858,3111,0,0,0,0,0,0,0,0,0,1,1,1
102049001,"Samford University","Main Campus","800 Lakeshore Drive","Birmingham","AL","352292240",2,"Private nonprofit, 4-year or above",1946,3260,5206,0,0,0,0,0,0,0,0,0,1,1,1
102058001,"Selma University","Selma University","1501 Lapsley St, Dinkins Hall","Selma","AL","36701",2,"Private nonprofit, 4-year or above",174,159,333,0,0,0,0,0,0,0,0,0,1,1,1
102067001,"Shelton State Community College","Martin Campus","9500 OLD GREENSBORO RD","TUSCALOOSA","AL","35405",4,"Public, 2-year",2165,2669,4834,0,0,0,0,0,0,0,0,0,1,1,1
102076001,"Snead State Community College","Main Campus","P.O. Box 734","BOAZ","AL","359570734",4,"Public, 2-year",960,1496,2456,0,0,0,0,0,0,0,2,0,1,1,1
102094001,"University of South Alabama","Main Campus","307 N UNIVERSITY BLVD","MOBILE","AL","366880002",1,"Public, 4-year or above",6239,9972,16211,1,26,17,3,21,2,2,26,4,1,1,1
102234001,"Spring Hill College","Spring Hill College","4000 DAUPHIN ST","MOBILE","AL","366081791",2,"Private nonprofit, 4-year or above",592,887,1479,0,0,0,0,0,0,0,1,0,1,1,1
102261001,"Southeastern Bible College","Main Campus","2545 Valleydale Road","BIRMINGHAM","AL","352442083",2,"Private nonprofit, 4-year or above",90,61,151,0,0,0,0,0,0,0,0,0,1,1,1
102270001,"Stillman College","Main Campus","3601 Stillman Boulevard","TUSCALOOSA","AL","35401",2,"Private nonprofit, 4-year or above",446,449,895,0,0,0,0,0,0,0,0,0,1,1,1
102298001,"Talladega College","Talladega College Main Campus","627 W BATTLE ST","TALLADEGA","AL","35160",2,"Private nonprofit, 4-year or above",526,463,989,1,3,0,0,4,0,2,8,0,1,1,1
102313001,"H Councill Trenholm State Community College","Main Campus - Trenholm Campus","P.O. Box 10048","MONTGOMERY","AL","361083199",4,"Public, 2-year",716,685,1401,0,0,0,0,0,0,0,0,0,1,1,1
102368001,"Troy University","Troy Campus","University Avenue","TROY","AL","360820001",1,"Public, 4-year or above",6743,11022,17765,0,8,22,0,1,18,0,0,17,1,1,1
102377001,"Tuskegee University","TUSKEGEE UNIVERSITY","Kresge Center, 3rd Floor RM 310","Tuskegee","AL","360881920",2,"Private nonprofit, 4-year or above",1187,1809,2996,0,11,0,0,5,4,1,1,1,1,1,1
102395001,"United States Sports Academy","Main Campus","ONE ACADEMY DR","DAPHNE","AL","365267055",2,"Private nonprofit, 4-year or above",234,85,319,0,0,0,0,1,0,0,0,0,1,1,1
102429001,"Bevill State Community College","Bevill State Community College Main Campus","1411 Indiana Avenue","Jasper","AL","35501",4,"Public, 2-year",1436,2183,3619,0,0,0,0,3,0,0,0,0,1,1,1
102553001,"University of Alaska Anchorage","Anchorage Campus","3211 Providence Dr","Anchorage","AK","99508",1,"Public, 4-year or above",7047,9715,16762,0,2,14,0,3,9,0,0,6,1,1,1
102580001,"Alaska Bible College","Main Campus","248 E. Elmwood Ave.","Palmer","AK","99645",2,"Private nonprofit, 4-year or above",21,12,33,0,0,0,0,0,0,0,0,0,1,1,1
102614001,"University of Alaska Fairbanks","University of Alaska Fairbanks","P.O. Box 757480","FAIRBANKS","AK","997757480",1,"Public, 4-year or above",3685,4953,8638,1,13,40,2,21,33,2,4,17,1,1,1
102632001,"University of Alaska Southeast","Main Campus/Auke Bay","11066 Auke Lake Way","JUNEAU","AK","99801",1,"Public, 4-year or above",929,1871,2800,0,0,0,0,0,5,0,0,2,1,1,1
102669001,"Alaska Pacific University","Main Campus","4101 UNIVERSITY DR","ANCHORAGE","AK","99508",2,"Private nonprofit, 4-year or above",174,342,516,0,0,0,0,0,0,0,0,0,1,1,1
102711001,"AVTEC-Alaska's Institute of Technology","First Lake Campus","809 Second Avenue","SEWARD","AK","996640889",7,"Public, less-than 2-year",792,178,970,0,0,0,0,0,0,0,0,0,1,1,1
